Value of n,Insertion sort (seconds),Merge Sort (seconds),Hybrid Merge Sort (seconds),Selection Sort (seconds),Bubble Sort (seconds)
100,0.0009992122650146484,0.0,0.0010018348693847656,0.00099945068359375,0.0010006427764892578
1000,0.05199909210205078,0.004996061325073242,0.004999876022338867,0.0599977970123291,0.13399028778076172
5000,1.668896198272705,0.029997825622558594,0.032998085021972656,1.6548984050750732,3.7827677726745605
10000,6.6845924854278564,0.05899691581726074,0.06799507141113281,5.960638523101807,13.917146921157837
20000,22.592618227005005,0.1559891700744629,0.12802457809448242,21.040711879730225,51.008880853652954
30000,52.30277132987976,0.18001961708068848,0.18395590782165527,47.029125452041626,116.33588719367981
